growth_rate,revenue,gross_profit,cost
0.0,455.7,136.70999999999998,318.99
0.02,464.814,139.4442,325.36980000000005
0.04,473.928,142.17839999999998,331.7496
0.06,483.04200000000003,144.9126,338.12940000000003
0.08,492.156,147.64679999999998,344.5092
0.1,501.27000000000004,150.381,350.889
0.12,510.384,153.1152,357.26880000000006
0.14,519.498,155.8494,363.64860000000004
0.16,528.612,158.5836,370.0284
0.18,537.726,161.3178,376.40819999999997
0.2,546.8399999999999,164.05199999999996,382.78799999999995
0.22,555.954,166.78619999999998,389.16779999999994
0.24,565.068,169.5204,395.5476
0.26,574.182,172.2546,401.92740000000003
0.28,583.296,174.9888,408.3072000000001
0.3,592.41,177.72299999999998,414.687
